,TRACTCE,Disadvantage,Medfaminc,SNAP%,PovertyRate,mrFEI,mrFEI_food_desert_swamp,mrFEI_food_desert,TargetLabel,mrFEI_food_desert_swamp_cluster_desert
221,099400,0.100988694,96875.0,0.124031007,5.6,0.0,1,1,0,1
222,033300,0.241051167,52002.0,0.198064029,21.5,0.2857142857142857,0,0,0,0
223,038600,0.160079688,81000.0,0.183712125,10.4,0.75,0,0,0,0
224,054800,0.180146262,108661.0,0.194407463,11.8,0.0,1,1,0,1
225,039900,0.315519422,78790.0,0.407784432,23.3,0.625,0,0,1,1
226,044000,0.203541249,86852.0,0.18699187,16.8,0.625,0,0,0,0
227,026100,0.337505221,62920.0,0.341971308,27.4,0.5,0,0,1,1
228,018600,0.18724826,76875.0,0.178523496,15.1,0.0,1,1,0,1
229,052000,0.126233503,106486.0,0.110277571,18.8,0.4827586206896552,0,0,0,0
230,059200,0.224494472,64167.0,0.252913743,10.0,0.2727272727272727,0,0,0,0
231,015100,0.041865814,202600.0,0.032871973,5.2,0.3,0,0,0,0
232,042000,0.214523286,80625.0,0.222222224,18.1,0.1818181818181818,0,0,0,0
233,043400,0.324626297,51447.0,0.211460859,24.8,1.0,0,0,1,1
234,022800,0.379693478,45819.0,0.299185097,43.8,0.4444444444444444,0,0,1,1
235,023000,0.415549278,38814.0,0.317596555,35.3,0.4444444444444444,0,0,1,1
236,0116000,0.298348278,55096.0,0.29358831,27.9,0.5,0,0,1,1
237,011700,0.13759169,106719.0,0.113616653,17.2,0.35,0,0,0,0
238,012801,0.350150168,36964.0,0.181704268,35.0,0.3333333333333333,0,0,1,1
239,056200,0.056016009,112563.0,0.041198503,4.3,1.0,0,0,0,0
240,056900,0.13592194,151786.0,0.110810809,10.1,0.0909090909090909,0,0,0,0
241,061002,0.194818571,96050.0,0.208502024,10.6,0.3333333333333333,0,0,0,0
242,013800,0.122485869,76406.0,0.108452953,14.6,0.5263157894736842,0,0,0,0
243,088800,0.281330198,48920.0,0.222506389,12.7,0.2222222222222222,0,0,0,0
244,06300,0.053842552,217083.0,0.022678185,4.6,0.0,1,1,0,1
245,029600,0.256571025,55824.0,0.191591024,19.9,0.5454545454545454,0,0,0,0
246,029800,0.302352697,44583.0,0.163393557,13.2,0.1176470588235294,0,0,0,0
247,0117602,0.194273621,58919.0,0.182417586,25.1,0.5,0,0,0,0
248,051300,0.208902583,81985.0,0.145985395,15.6,0.25,0,0,0,0
249,017800,0.18428801,74167.0,0.125,17.3,0.4,0,0,0,0
250,013200,0.22748372,102721.0,0.156834528,24.9,0.3,0,0,0,0
251,06000,0.121198647,100852.0,0.171717167,15.1,0.2608695652173913,0,0,0,0
252,082800,0.145404458,74808.0,0.257352948,14.9,0.5,0,0,0,0
253,022000,0.48436299,33257.0,0.297074258,49.2,0.3684210526315789,0,0,1,1
254,099000,0.180587843,111786.0,0.20309478,22.7,0.5,0,0,0,0
255,054500,0.619067073,26995.0,0.652885795,45.9,0.75,0,0,1,1
256,059000,0.27925849,55417.0,0.263823062,22.8,0.4285714285714285,0,0,1,1
257,054200,0.274940103,56750.0,0.305844158,23.5,0.1176470588235294,0,0,1,1
258,0110600,0.566052914,30982.0,0.677194834,42.3,0.0,1,1,1,1
259,0117202,0.258355916,51202.0,0.25858587,11.5,1.0,0,0,0,0
260,0118201,0.208416507,69682.0,0.262593776,18.3,0.3333333333333333,0,0,0,0
261,013100,0.095783159,157708.0,0.106781378,6.2,0.1621621621621621,0,0,0,0
262,078000,0.092845544,108750.0,0.131901845,4.5,0.3333333333333333,0,0,0,0
263,065400,0.080888852,110439.0,0.003690037,4.7,0.0,1,1,0,1
264,025100,0.231323466,65612.0,0.231094986,32.6,0.3125,0,0,1,1
265,010100,0.154315293,84423.0,0.179384202,16.3,0.2777777777777778,0,0,0,0
266,084600,0.099410735,80478.0,0.096503496,9.5,0.4666666666666667,0,0,0,0
267,034700,0.352898836,30545.0,0.23977901,25.3,0.5384615384615384,0,0,1,1
268,056000,0.214504004,88162.0,0.210898802,13.6,0.0,1,1,0,1
269,030100,0.298206657,58618.0,0.262972742,26.6,0.6666666666666666,0,0,1,1
270,044700,0.346625835,36058.0,0.177297294,38.3,0.1818181818181818,0,0,1,1
271,053300,0.531373739,30156.0,0.519595444,56.0,0.5,0,0,1,1
272,012100,0.063271716,156146.0,0.024570024,11.6,0.0833333333333333,1,0,0,1
273,060600,0.166719913,70777.0,0.22868526,17.6,0.45,0,0,0,0
274,013500,0.035246581,216446.0,0.034736138,8.0,0.0,1,1,0,1
275,088400,0.368286222,52750.0,0.361921102,23.3,0.4615384615384615,0,0,1,1
276,049400,0.18949227,104583.0,0.133017644,19.2,0.3,0,0,0,0
277,08400,0.233390421,50132.0,0.200000003,20.2,0.3333333333333333,0,0,0,0
278,083800,0.104480177,88690.0,0.074270554,3.5,0.4,0,0,0,0
279,036501,0.250378549,59141.0,0.237685695,17.0,0.6,0,0,0,0
280,062600,0.115012698,77951.0,0.116809115,11.0,0.6666666666666666,0,0,0,0
281,041402,0.245662749,70341.0,0.284953386,9.7,0.0,1,1,0,1
282,072400,0.093918636,82212.0,0.101960786,9.8,0.0,1,1,0,1
283,043300,0.415048897,35272.0,0.347154468,30.3,0.238095238095238,0,0,1,1
284,05602,0.045083474,85469.0,0.037158471,10.9,0.3333333333333333,0,0,0,0
285,038300,0.220776141,80726.0,0.215797618,18.1,0.3333333333333333,0,0,0,0
286,085000,0.140460685,69866.0,0.1477516,10.4,0.0,1,1,0,1
287,045600,0.236070395,76429.0,0.377885789,22.6,0.3333333333333333,0,0,1,1
288,061600,0.059724521,150341.0,0.060728744,15.7,0.0,1,1,0,1
289,025300,0.27602464,75357.0,0.297583073,20.6,0.125,0,0,1,1
290,094401,0.148546383,107050.0,0.131802723,6.4,0.0,1,1,0,1
291,07100,0.350859165,56694.0,0.364583343,27.6,0.5,0,0,1,1
292,050804,0.16979903,93400.0,0.21978882,17.0,0.0,1,1,0,1
293,080400,0.173941046,66250.0,0.134785563,20.0,0.1764705882352941,0,0,0,0
294,019300,0.197350785,77733.0,0.12872842,22.2,0.25,0,0,0,0
295,049600,0.236556947,62788.0,0.192168236,17.8,0.5,0,0,0,0
296,024600,0.202244267,62750.0,0.200676441,16.8,0.6,0,0,0,0
297,08800,0.203914285,70227.0,0.16073148,13.4,0.3478260869565217,0,0,0,0
298,050900,0.532420874,34114.0,0.467045456,60.0,0.5,0,0,1,1
299,057300,0.123118289,138889.0,0.106844738,9.8,0.5,0,0,0,0
300,017900,0.254624128,94697.0,0.250957847,16.2,0.0,1,1,0,1
301,032100,0.208695605,65705.0,0.297462821,19.8,0.3571428571428571,0,0,1,1
302,021900,0.174665421,89828.0,0.126629427,20.5,0.35,0,0,0,0
303,057100,0.124869056,99981.0,0.08426667,8.5,0.3571428571428571,0,0,0,0
304,0111600,0.266363323,72336.0,0.235474005,22.4,0.4117647058823529,0,0,1,1
305,081400,0.208909646,74514.0,0.260103613,18.7,0.6,0,0,0,0
306,051400,0.267130703,69966.0,0.27832067,22.0,0.0769230769230769,1,0,1,1
307,087401,0.283156544,72820.0,0.255629152,34.8,0.4285714285714285,0,0,1,1
308,058800,0.098447338,92353.0,0.104895107,6.1,0.2857142857142857,0,0,0,0
309,0101400,0.171565652,84423.0,0.206388205,10.6,0.0,1,1,0,1
310,057500,0.123112097,93750.0,0.114084505,13.3,0.25,0,0,0,0
311,081000,0.180086985,58325.0,0.130339533,18.4,0.6666666666666666,0,0,0,0
312,040600,0.174282417,64456.0,0.136048526,21.8,0.5714285714285714,0,0,0,0
313,012700,0.310500652,92606.0,0.299630076,41.2,0.3333333333333333,0,0,1,1
314,08000,0.165014997,81288.0,0.182947025,16.5,0.2142857142857142,0,0,0,0
315,075600,0.0514769,153816.0,0.042236026,5.9,0.3333333333333333,0,0,0,0
316,061003,0.373601168,39375.0,0.293286204,26.9,0.375,0,0,1,1
317,051001,0.325292677,56250.0,0.374709964,15.3,0.5,0,0,1,1
318,020100,0.074912056,155144.0,0.086518049,5.8,0.1176470588235294,0,0,0,0
319,068000,0.088938087,100114.0,0.132352948,1.6,0.5714285714285714,0,0,0,0
320,02901,0.570206761,28488.0,0.611148894,40.1,0.0,1,1,1,1
321,038800,0.205786631,87587.0,0.154838711,15.3,1.0,0,0,0,0
322,0114400,0.337819397,68071.0,0.416445613,33.7,0.5,0,0,1,1
323,025200,0.217341259,61090.0,0.17493473,14.8,0.2727272727272727,0,0,0,0
324,072200,0.179982051,70815.0,0.179282874,11.1,0.375,0,0,0,0
325,086800,0.232290879,56169.0,0.201518282,17.2,0.2777777777777778,0,0,0,0
326,0113200,0.191525042,62250.0,0.183639392,14.9,1.0,0,0,0,0
327,033600,0.227579415,78500.0,0.168961197,14.1,0.1428571428571428,0,0,0,0
328,03400,0.102703132,113911.0,0.090421453,19.8,0.1,0,0,0,0
329,026200,0.160216317,77574.0,0.180076629,21.5,0.4444444444444444,0,0,0,0
330,082400,0.224750087,64500.0,0.290623188,17.3,0.4736842105263157,0,0,0,0
331,093600,0.137203842,82566.0,0.17316018,6.6,1.0,0,0,0,0
332,033900,0.295297354,66500.0,0.292731822,33.4,0.2666666666666666,0,0,1,1
333,027900,0.201970875,83365.0,0.260282367,14.3,0.3888888888888889,0,0,0,0
334,075200,0.048351686,173250.0,0.091549292,1.5,0.6666666666666666,0,0,0,0
335,012000,0.286558121,46500.0,0.215909094,22.3,0.2307692307692307,0,0,1,1
336,030000,0.270559251,63125.0,0.263079226,14.6,0.2666666666666666,0,0,0,0
337,073000,0.103528142,115571.0,0.166037738,1.3,0.0,1,1,0,1
338,068800,0.086914927,119363.0,0.14327918,4.6,0.0,1,1,0,1
339,059800,0.164742365,73889.0,0.133623824,20.2,1.0,0,0,0,0
340,039400,0.286801785,51734.0,0.270538241,18.1,0.0,1,1,1,1
341,088600,0.389055192,40451.0,0.425964534,29.9,0.625,0,0,1,1
342,0119800,0.439921588,37218.0,0.376879692,42.3,0.4666666666666667,0,0,1,1
343,024000,0.449884772,39643.0,0.381398708,39.2,0.3,0,0,1,1
344,0117800,0.399015427,29606.0,0.347992361,20.8,0.3333333333333333,0,0,1,1
345,032900,0.321572423,55060.0,0.263157904,31.7,0.5384615384615384,0,0,1,1
346,042500,0.265952975,48646.0,0.112132356,15.1,0.375,0,0,0,0
347,076800,0.190533608,56645.0,0.202510461,25.5,0.3846153846153846,0,0,0,0
348,016600,0.0606778,158281.0,0.027220631,1.8,0.0,1,1,0,1
349,025800,0.288538843,47045.0,0.2119032,24.1,0.5384615384615384,0,0,1,1
350,020700,0.057795096,190843.0,0.054973822,5.4,0.5,0,0,0,0
351,022200,0.512297094,42730.0,0.587831199,35.4,0.4,0,0,1,1
352,099200,0.100984365,92721.0,0.123955429,12.0,0.0,1,1,0,1
353,0102400,0.157233626,100104.0,0.108450703,3.9,0.0,1,1,0,1
354,02000,0.323031485,56875.0,0.283505142,30.5,0.0,1,1,1,1
355,047600,0.300035626,73000.0,0.234953701,30.2,0.5454545454545454,0,0,1,1
356,079802,0.117539212,77482.0,0.093711466,15.6,0.125,0,0,0,0
357,082200,0.238219664,71531.0,0.331487626,14.0,0.1818181818181818,0,0,0,0
358,049100,0.400333285,35880.0,0.352807283,22.6,0.5,0,0,1,1
359,015300,0.052442487,198750.0,0.035056967,4.1,0.15,0,0,0,0
360,015700,0.023769807,179766.0,0.027911453,4.7,0.3529411764705882,0,0,0,0
361,091000,0.589250326,25774.0,0.685177445,61.5,0.5555555555555556,0,0,1,1
362,0105801,0.49437955,26890.0,0.440379769,28.9,0.0,1,1,1,1
363,0115000,0.350092471,58380.0,0.502910376,33.9,0.6153846153846154,0,0,1,1
364,052700,0.227744937,55150.0,0.279683381,26.8,0.5882352941176471,0,0,1,1
365,055300,0.153397024,113750.0,0.043350477,8.4,0.1333333333333333,0,0,0,0
366,067200,0.17150794,100086.0,0.273684204,6.8,0.75,0,0,0,0
367,070000,0.035716206,95938.0,0.035661217,7.7,0.2,0,0,0,0
368,013400,0.175018504,109605.0,0.166064978,5.8,0.4166666666666667,0,0,0,0
369,020800,0.189990714,70481.0,0.231508166,12.8,0.0,1,1,0,1
370,043100,0.307384133,51023.0,0.306637406,31.1,0.4615384615384615,0,0,1,1
371,027200,0.266831458,74226.0,0.304776341,26.2,0.625,0,0,1,1
372,046201,0.296418309,67850.0,0.459734976,16.0,0.8181818181818182,0,0,1,1
373,047200,0.278974831,60982.0,0.241001561,25.4,0.5,0,0,1,1
374,024900,0.156604111,117885.0,0.156696662,14.2,0.2666666666666666,0,0,0,0
375,023200,0.444352418,43438.0,0.448784709,51.8,0.6666666666666666,0,0,1,1
376,010000,0.319964141,57986.0,0.358708203,30.0,0.3076923076923077,0,0,1,1
377,089800,0.222270101,73214.0,0.222891569,27.2,0.4,0,0,1,1
378,062800,0.099192604,103583.0,0.082007341,9.8,0.4,0,0,0,0
379,063800,0.060184982,118611.0,0.015831135,6.1,0.0,1,1,0,1
380,016500,0.031219052,250001.0,0.01077122,3.9,0.0,1,1,0,1
381,098800,0.097690187,92965.0,0.12956205,12.4,0.0,1,1,0,1
382,0102000,0.038389377,116862.0,0.03846154,9.2,0.0,1,1,0,1
383,031300,0.189442739,113138.0,0.19910714,20.3,0.375,0,0,0,0
384,035500,0.266961008,68627.0,0.344727963,16.3,0.2727272727272727,0,0,1,1
385,041700,0.433099568,35472.0,0.481481493,23.3,0.3333333333333333,0,0,1,1
386,060800,0.201864064,84088.0,0.211656436,17.1,0.1071428571428571,0,0,0,0
387,016100,0.030430935,192500.0,0.047619049,13.0,0.2333333333333333,0,0,0,0
388,011200,0.363209367,50851.0,0.419278264,40.9,0.7142857142857143,0,0,1,1
389,052300,0.199382544,69932.0,0.200539574,23.7,0.2826086956521739,0,0,0,0
390,077400,0.111297607,84674.0,0.139250189,17.9,0.4545454545454545,0,0,0,0
391,07800,0.251958787,71762.0,0.263307303,18.4,0.4545454545454545,0,0,0,0
392,041300,0.262674004,92522.0,0.339514971,20.5,0.5625,0,0,1,1
393,096600,0.126641482,68281.0,0.100490198,9.7,0.0,1,1,0,1
394,079400,0.310104072,53917.0,0.345679015,21.6,0.4,0,0,1,1
395,02100,0.023628475,250001.0,0.007759457,5.3,0.2894736842105263,0,0,0,0
396,0113000,0.239645243,65664.0,0.266837716,30.2,0.4,0,0,1,1
397,090200,0.404022306,52399.0,0.444165617,39.8,0.5,0,0,1,1
398,048500,0.238299608,65947.0,0.121794872,20.4,0.125,0,0,0,0
399,038900,0.148488924,80259.0,0.115771815,20.6,0.238095238095238,0,0,0,0
400,039100,0.279277265,56223.0,0.221840665,31.2,0.0,1,1,1,1
401,039300,0.271563351,58269.0,0.26630801,26.9,0.25,0,0,1,1
402,036700,0.269684255,61000.0,0.238095239,15.7,0.5,0,0,0,0
403,053000,0.314602286,59050.0,0.282939196,26.0,0.0,1,1,1,1
404,021700,0.223932028,75682.0,0.213913038,18.4,0.0,1,1,0,1
405,050202,0.065450191,145664.0,0.049532712,7.1,0.1666666666666666,0,0,0,0
406,084000,0.10221874,85563.0,0.097590365,7.6,1.0,0,0,0,0
407,084800,0.120799005,96750.0,0.125673249,7.7,0.3333333333333333,0,0,0,0
408,085400,0.185433418,66667.0,0.151177198,18.2,0.0,1,1,0,1
409,085800,0.129781976,69500.0,0.088888891,9.5,0.2142857142857142,0,0,0,0
410,086400,0.160468757,80111.0,0.196226418,8.6,0.5,0,0,0,0
411,038200,0.634680271,20058.0,0.771321476,39.5,0.2,0,0,1,1
412,026800,0.227448702,58125.0,0.211424813,20.6,0.25,0,0,0,0
413,064600,0.088938646,87813.0,0.038748138,7.8,0.0,1,1,0,1
414,043600,0.273628652,77333.0,0.376344085,21.1,0.5789473684210527,0,0,1,1
415,074000,0.125267297,89519.0,0.213725492,9.0,0.3333333333333333,0,0,0,0
416,028200,0.193034932,75897.0,0.256995589,19.6,0.5,0,0,0,0
417,077200,0.203677073,71726.0,0.22286661,8.3,0.5,0,0,0,0
418,0118600,0.110909529,82955.0,0.124165557,19.3,0.3333333333333333,0,0,0,0
419,089400,0.432357967,42321.0,0.419833183,31.1,0.625,0,0,1,1
420,064200,0.164513066,94625.0,0.167061612,18.6,0.5,0,0,0,0
421,043800,0.264833093,62500.0,0.217161015,27.8,0.0,1,1,1,1
422,014200,0.07947775,75781.0,0.103230894,10.5,0.0588235294117647,1,0,0,1
423,034800,0.316038907,47200.0,0.216276482,28.7,0.4,0,0,1,1
424,012200,0.408657223,37961.0,0.380038381,30.9,0.5555555555555556,0,0,1,1
425,093800,0.120737299,82824.0,0.108193278,14.0,0.3333333333333333,0,0,0,0
426,049000,0.247054964,59457.0,0.232962132,23.8,0.7777777777777778,0,0,1,1
427,0115200,0.297222972,59025.0,0.442364544,25.4,0.375,0,0,1,1
428,055400,0.253521025,68242.0,0.322303921,28.0,0.2916666666666667,0,0,1,1
429,019000,0.260746062,57670.0,0.240900069,18.4,0.125,0,0,1,1
430,03000,0.123905234,108750.0,0.070175439,10.8,1.0,0,0,0,0
431,0112800,0.39165926,62212.0,0.457185417,26.4,0.3636363636363636,0,0,1,1
432,011400,0.388389856,46818.0,0.348785877,35.4,0.25,0,0,1,1
433,021200,0.297088206,41905.0,0.209748894,20.1,0.3888888888888889,0,0,1,1
434,037500,0.165215254,71859.0,0.19956927,21.9,0.35,0,0,0,0
435,041600,0.242704585,60104.0,0.245152354,22.9,1.0,0,0,1,1
436,0117201,0.254850298,75000.0,0.290190727,26.2,0.0,1,1,1,1
437,027800,0.140477642,77969.0,0.21600689,11.1,0.391304347826087,0,0,0,0
438,050801,0.270961493,63553.0,0.273983121,27.0,0.6666666666666666,0,0,1,1
439,074600,0.079582259,103500.0,0.101740293,3.4,0.2857142857142857,0,0,0,0
440,072800,0.123675063,86477.0,0.138016015,7.6,0.6666666666666666,0,0,0,0
441,011600,0.334610671,40714.0,0.282226563,28.6,0.0,1,1,1,1
442,020300,0.093198046,182557.0,0.04040404,10.5,0.1875,0,0,0,0
443,017000,0.140234038,89831.0,0.163793102,13.4,0.1666666666666666,0,0,0,0
444,095000,0.133747309,96652.0,0.200654313,8.3,0.3076923076923077,0,0,0,0
445,018800,0.13500303,77240.0,0.13333334,12.7,0.5,0,0,0,0
